arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
40,8.500000,262144,18173760.734360
40,9.800000,32768,28533309.265261
40,12.400000,4096,53371653.451469
40,18.900000,512,123594894.474967
40,56.300000,64,218236356.785388
40,60.000000,12,235912284.284970
40,60.000000,18,226955714.826346
40,60.000000,24,218093447.206189
