arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
20,13.000000,262144,246159944.663753
20,15.300000,32768,309459396.772013
20,19.700000,4096,337726256.276913
20,32.300000,512,395850686.345065
20,90.000000,18,429691863.758770
20,90.000000,27,424893353.024268
20,90.000000,36,417469094.379408
