arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
38,13.000000,262144,118749112.448845
38,15.300000,32768,149586320.818488
38,19.700000,4096,218924115.968963
38,32.300000,512,329527936.677580
38,90.000000,18,404734140.871888
38,90.000000,27,396598582.793882
38,90.000000,36,382640902.801309
