frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,918095.292184,29759.000000,8470.625656
4,1505674.419536,55620.000000,43703.074434
8,862582.799244,36189.000000,10539.216100
16,1257230.456554,45339.000000,54504.860655
32,2076215.008615,65258.000000,89261.970060
64,1169309.876508,56292.000000,16075.310915
128,1951420.255618,63428.000000,47396.609014
256,2182006.833754,80119.000000,83004.528063
512,2519015.990332,89302.000000,276379.080106
1024,1333031.003769,51624.000000,66920.121884
2048,1428528.598647,48322.000000,212935.773343
4096,2181033.923632,74650.000000,721437.272123
8192,2266762.404292,86272.000000,521942.013781
16384,2510341.859214,76095.000000,693655.880276
32768,1446161.040661,55046.000000,412138.233849
65536,1375486.661105,46065.000000,629628.233524
