frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,894969.445319,40740.000000,18426.792749
4,633496.912812,29556.000000,11237.618342
8,1136055.741167,45939.000000,37076.636457
16,508497.716494,28933.000000,3124.075703
32,1116073.570045,43149.000000,14182.762707
64,1594380.457037,58750.000000,67196.772661
128,2297196.340793,81339.000000,195727.916634
256,1906946.736421,83076.000000,105731.967380
512,2133825.171675,82348.000000,220308.879521
1024,2539540.481716,86506.000000,464098.913716
2048,2061276.282297,74001.000000,461489.128899
4096,1532119.911776,75930.000000,671916.601408
8192,1923862.320430,75617.000000,1045725.096972
16384,3312588.332804,101363.000000,1310311.880843
32768,2807234.152409,112709.000000,411373.272730
65536,898816.110890,45442.000000,0.000000
