frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,987960.832929,32295.000000,29155.066284
4,1444238.225889,37579.000000,38921.488204
8,693006.839336,22120.000000,21494.321692
16,359172.413153,18120.000000,3834.742495
32,661643.181340,17635.000000,26773.130168
64,1813401.735918,53090.000000,123983.062722
128,1904086.050014,63005.000000,132558.645373
256,2540472.464127,77700.000000,191683.420459
512,1714318.147373,56358.000000,293654.775984
1024,1412347.729285,45871.000000,261152.390351
2048,2436812.846655,74540.000000,385512.046695
4096,2709047.575854,85641.000000,676469.139700
8192,1460437.316010,46492.000000,427725.568608
16384,2601707.110659,71921.000000,871936.400358
32768,2576420.415560,80909.000000,2395530.260150
65536,3679129.665552,111044.000000,1212617.329322
