frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,1170826.088578,34121.000000,20991.632452
4,850668.923593,28679.000000,1236.736431
8,1039203.108978,29875.000000,3836.671995
16,1362803.125638,46493.000000,40883.515822
32,1178628.383578,34450.000000,57612.524541
64,1730743.959174,52885.000000,69767.354185
128,2485547.461907,83694.000000,93835.255437
256,1200845.274395,38732.000000,69862.613779
512,2181158.443781,71009.000000,244362.879045
1024,1461448.044981,41228.000000,26005.004999
2048,2430551.812361,76214.000000,218414.508126
4096,1402231.501150,40533.000000,58485.232435
8192,1557462.074385,49184.000000,383425.055127
16384,1558291.242241,47928.000000,843738.385520
32768,5365066.199765,138724.000000,3780339.363222
65536,4978809.456339,130499.000000,2457502.253631
