frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,1630651.394431,51598.000000,22592.442276
4,1215965.655340,42832.000000,5302.375883
8,1102924.478204,40663.000000,7179.136578
16,1117662.184753,41815.000000,35566.601679
32,1542809.808807,55339.000000,45064.804449
64,1637091.282122,60336.000000,87895.439648
128,1519606.261033,49062.000000,69821.121124
256,2268443.325601,73306.000000,144197.827737
512,1956112.200757,65450.000000,108482.543628
1024,2501651.421440,96985.000000,433521.885162
2048,849628.464072,25974.000000,162611.260742
4096,1357586.065677,39162.000000,165552.467973
8192,2969458.603529,103503.000000,1276359.876107
16384,2445688.837996,76496.000000,2074312.197299
32768,792092.490083,33962.000000,410368.111820
65536,2381861.279301,75441.000000,1881170.753720
