frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,696094.250053,29124.000000,18248.489170
4,1323339.564009,60775.000000,16617.732306
8,1085713.922170,40404.000000,6322.082173
16,1421432.028012,55495.000000,36270.621790
32,852701.259095,32731.000000,22409.282162
64,1659145.960955,63896.000000,39085.887965
128,1689714.261864,65116.000000,90360.065765
256,2104956.685747,79364.000000,172973.449356
512,2203366.395510,74429.000000,111923.658804
1024,2660400.720799,92629.000000,22152.491575
2048,2081334.393979,75383.000000,75773.373529
4096,1577978.631680,61118.000000,457149.015891
8192,3598457.305251,121848.000000,1191656.215427
16384,6088703.330578,171561.000000,2128601.125841
32768,2163408.601783,80265.000000,481554.759546
65536,1938092.950067,69780.000000,1409992.122716
