frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,641061.372436,22942.000000,8753.584009
4,944572.543487,32654.000000,19483.026125
8,1423524.633439,40536.000000,59577.699435
16,1382379.407771,46686.000000,53596.900106
32,1268464.988270,43278.000000,30985.297013
64,1561422.385304,48340.000000,102748.362722
128,1368188.476795,50466.000000,126137.621370
256,3200792.977543,102155.000000,207967.347543
512,1641229.462172,46501.000000,135488.005624
1024,1554508.438293,50641.000000,324236.488340
2048,1712328.200324,57045.000000,521692.716324
4096,1779877.164059,56172.000000,265733.289031
8192,3382863.254197,101472.000000,719827.310123
16384,3819964.079072,105326.000000,1589621.150658
32768,2628886.543604,73911.000000,487029.388802
65536,3802926.073184,103040.000000,1402398.667843
