batch,SRPT,FCFS,BAL,SJF,RR,RMLF,MLFQ,SETF
1,23884.3951,2568.1850,23884.3951,23864.5919,5162.6708,30601.5819,18191.2594,419954.0693
2,155710.0778,7613.5796,50461.0068,155645.1961,17754.7258,162433.8119,42807.5068,521760.9400
3,165068.0237,15589.7344,64357.1491,165024.5974,28991.4724,76390.9437,65829.3924,581995.8191
4,141755.7781,14516.8395,33982.0036,141748.0600,24543.5422,62981.0032,97765.8346,406320.9247
5,152651.3956,14150.7591,58441.6996,152594.8923,28345.8881,56367.2772,126772.6425,555883.0945
6,137926.4813,18170.3709,48079.8982,137866.4518,35536.6039,67068.3568,154645.7660,414842.1021
7,219449.4338,21411.1408,75882.0851,219380.7844,35992.8764,164897.7526,182956.0606,417000.4472
8,182406.1201,18342.5209,41211.5943,182384.7645,33144.6395,161211.2044,217369.5329,486900.4830
9,260701.0240,20282.0652,69472.9519,260613.9214,38835.1951,251026.8498,248117.0570,406569.6953
10,134642.8848,20779.9200,49823.8763,134586.5208,42249.7635,153996.9873,278240.5970,442461.7365
11,174056.4208,25258.4620,58551.1812,173873.1533,47953.5033,160950.5470,304753.6319,414110.3038
12,171593.9327,28329.6403,44017.0848,171576.3566,50122.7639,212672.5438,333263.5192,406302.6146
13,172351.5052,26785.8932,58082.1881,172244.6955,46297.1516,196954.3981,365378.6899,360679.5130
14,163558.7140,24968.7930,69493.3610,163412.7862,45441.3733,196069.2199,396847.3132,264526.9179
15,112385.9855,24759.9060,42431.6137,112380.4119,46437.0545,154005.8720,426896.7636,372436.4184
16,183167.0910,26888.8208,77297.4855,183126.1095,54033.6262,198309.4486,456202.3022,411993.0398
17,181866.8250,30555.0604,70337.9708,181807.7159,56152.0870,217747.8489,483584.9094,369271.2097
18,26665.5942,31803.2745,56412.6344,26389.9203,55686.0591,113752.4471,512642.0875,279681.8404
19,96917.5869,31169.7076,69603.7144,96817.6468,53806.8317,102866.8747,543403.4491,267509.8431
20,29188.6854,29492.2959,57720.2929,26342.0896,60277.5932,116093.6525,575260.5065,388153.2529
21,28914.0732,32687.4069,56286.3354,28912.5144,59469.8481,127100.7800,604794.6574,341427.4851
22,121735.4084,34663.6082,63624.8935,121713.0497,60760.5734,131047.9870,633026.8188,264880.7592
23,174534.1978,33466.5781,71378.0179,174512.6789,60007.1312,194979.1450,664408.5819,310951.7921
24,166334.9796,34865.2082,85335.5803,166274.5194,60138.6440,161365.7576,693621.2653,239294.1466
25,77402.4808,31626.8521,61419.2941,77418.0652,60266.2185,163331.1037,727545.1367,261782.2556
26,20564.1762,33574.1932,57879.7615,20563.2744,61715.1569,180626.0853,756827.1215,269333.3405
27,78933.2542,33800.3642,62426.6885,78882.5009,65388.3286,194546.7243,787710.8613,221053.6902
28,75940.6486,36725.1634,61918.8447,75917.7443,66758.8284,181138.3049,813746.9553,180432.4320
29,139626.6675,38267.0783,75100.3687,137219.0456,66676.2422,196897.5115,842526.4080,215428.7357
30,90625.8539,34470.5794,65676.2204,90553.8625,64500.6052,162569.3972,874518.0689,164420.9346
31,62079.3625,38162.6324,53234.6665,62053.3597,67919.4438,169216.9374,899632.5071,162763.3818
32,84569.8378,36161.6621,79657.3391,85767.6498,72676.6403,167973.2402,930545.3065,199409.1690
