batch,SRPT,FCFS,BAL,SJF,RR,RMLF,MLFQ,SETF
1,1675.6942,1456.2259,1675.6942,1597.9631,2350.6150,3462.8471,17614.5871,3941.2978
2,978.6547,882.9841,978.6547,885.6788,1290.8079,3892.0256,51990.4614,30772.7482
3,24283.3349,4754.6771,24283.3349,24179.4576,9509.0477,152178.1166,81921.5908,302666.4839
4,20419.2571,7058.0667,20419.2571,18970.5467,13218.2670,149110.2649,109329.4388,295200.3535
5,14367.8767,10086.1214,14367.8767,14175.2156,17155.9064,146700.1508,137296.2092,381368.1994
6,5197.0486,7820.1501,5197.0486,5105.5242,13321.4150,141650.6347,169999.0704,312891.1128
7,134688.1845,5938.7108,29927.5471,134643.4581,9705.4777,195438.3904,201424.0102,238498.9898
8,77661.1623,3452.4070,27979.1371,77613.9094,5553.6963,19868.3940,233344.9408,260257.8206
9,216134.3837,6033.4479,65336.0379,215772.6627,12552.3994,196241.2496,261402.6104,492347.2405
10,127343.3339,9696.9698,40192.5268,127314.2537,19875.4683,138795.2244,288336.1078,439163.6486
11,173469.4833,14042.1024,42675.2493,173390.2573,27182.0795,185610.1339,314076.9428,403706.6276
12,221035.7043,17042.9722,70415.6893,220980.9665,32685.5521,188901.8205,340947.1011,373426.0055
13,140998.1566,19002.8934,45089.9013,140933.1818,31108.7992,141874.4685,370440.9461,420393.8130
14,140764.6915,15420.1524,49357.2813,140732.2771,30468.7384,71494.2036,404267.8401,367796.0129
15,90155.1759,19389.1212,48745.4255,90146.5958,36758.0783,104906.6068,430379.9320,404254.4889
16,139634.1828,20292.4902,49489.3040,139609.0937,37970.9711,107452.0096,459860.8668,406902.3541
17,89979.1674,21228.6210,40012.2209,80628.1497,36452.0842,98357.7471,488010.3245,332814.3109
18,139645.4432,21121.2829,40735.2667,139599.6543,38038.6906,111340.3266,517551.8660,314215.9578
19,203217.0242,21865.2890,79834.5466,203079.8010,45214.3402,228445.6232,546445.6314,357732.8851
20,134362.1320,25365.8167,66030.5354,134345.5625,49499.1959,157175.1658,572845.3434,350057.4580
21,144185.4105,28502.5251,76909.6673,144063.9887,53145.0060,198775.3500,600390.0507,298834.7662
