coherence_time,L2_norm_flow_time
2,117058445.10737269
4,117305454.5226146
8,118678430.2447201
16,119226145.1271884
32,120441193.7675538
64,121218708.71715441
128,121465151.71059301
256,121774721.02289459
512,121855288.33341579
1024,122166616.3230398
2048,121794108.6443193
4096,119290785.1099283
8192,118494384.66450651
16384,122736715.8982996
32768,132492981.3491251
65536,143292132.5677376
