mean_inter_arrival_time,L2_norm_flow_time
20.0,7103795.556721039
22.0,5817312.5997631
24.0,4497484.717643959
26.0,3165454.3891080604
28.0,1905992.4883741997
30.0,608611.5735289
32.0,111530.61936424
34.0,75933.99219996
36.0,60958.171987179994
38.0,40293.1794109
40.0,45594.81662228
