arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
34,13.000000,262144,10918835.966912
34,15.300000,32768,14199904.329904
34,19.700000,4096,21620580.250220
34,32.300000,512,38286319.518859
34,90.000000,18,55302924.233976
34,90.000000,27,52802255.375007
34,90.000000,36,51967521.636644
