arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
26,13.000000,262144,13736809.407222
26,15.300000,32768,17602665.915939
26,19.700000,4096,26240793.102995
26,32.300000,512,42183828.757300
26,90.000000,18,61711046.253613
26,90.000000,27,59528743.722783
26,90.000000,36,56045298.504793
