arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
40,13.000000,262144,8203973.194046
40,15.300000,32768,12050046.718115
40,19.700000,4096,20322867.242422
40,32.300000,512,33571711.590913
40,90.000000,18,50011012.818763
40,90.000000,27,47971787.528255
40,90.000000,36,46244507.019221
