arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
22,13.000000,262144,15277594.281570
22,15.300000,32768,19460583.762477
22,19.700000,4096,26896278.636598
22,32.300000,512,43905508.485242
22,90.000000,18,65065485.647883
22,90.000000,27,62490711.074226
22,90.000000,36,59201319.195618
