frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,204231.255500,128329.000000,32.202484
4,230099.062951,194363.000000,89.145948
8,220319.252958,160825.000000,63.087241
16,405526.978458,259566.000000,321.673748
32,285665.363926,167120.000000,75.637292
64,198681.416207,98834.000000,132.521696
128,296067.707596,201207.000000,3043.861528
256,229615.394414,146178.000000,11972.333732
512,390192.622293,208846.000000,15262.272079
1024,334843.385100,159521.000000,48845.167499
2048,377127.585634,233686.000000,42973.662958
4096,230687.500702,111182.000000,67105.143760
8192,654190.006327,207659.000000,418798.049880
16384,753858.218322,249980.000000,554373.471698
32768,1720474.079429,244082.000000,1540141.138536
65536,139059.765511,122897.000000,0.000000
