frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,251984.193699,214420.000000,1011.129072
4,122833.079885,104397.000000,139.588681
8,80609.358247,48904.000000,21.679483
16,352534.008959,260774.000000,72.076348
32,78845.788144,61278.000000,324.572026
64,69910.165291,36442.000000,633.651324
128,230378.801497,148250.000000,247.002024
256,364517.258317,284181.000000,284195.752097
512,119395.833416,77317.000000,14674.566774
1024,170978.811006,118812.000000,2007.096659
2048,197610.335628,142423.000000,31332.692639
4096,350700.426850,229322.000000,272540.978928
8192,682619.811873,341318.000000,278952.891553
16384,297856.608988,151084.000000,26590.176964
32768,443008.007039,259055.000000,207610.916695
65536,234054.830262,147139.000000,59089.105180
