frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,71489.371993,33312.000000,10.816654
4,423380.245816,225376.000000,81.111035
8,286626.531916,253799.000000,350.012857
16,248146.590130,176551.000000,137.109445
32,254997.165784,130082.000000,81.455509
64,294506.565297,182175.000000,399.863727
128,185131.250398,109249.000000,137.771550
256,374491.525497,192386.000000,35959.066909
512,317379.854228,197466.000000,815.837606
1024,612618.817531,283195.000000,327411.121460
2048,448209.700464,251397.000000,76136.836466
4096,236859.296712,128610.000000,31387.533927
8192,476004.867873,274534.000000,93212.997758
16384,387956.977335,198926.000000,65448.875071
32768,302551.335666,150314.000000,254215.475963
65536,195464.866114,128173.000000,0.000000
