frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,382516.608600,231384.000000,8.485281
4,383199.001358,274564.000000,154.857999
8,461890.296468,269334.000000,3162.120807
16,197299.078979,134552.000000,46.357308
32,265691.441560,172048.000000,5243.243653
64,424005.525793,232451.000000,996.527471
128,317640.260033,144841.000000,1994.923557
256,127019.271487,76685.000000,429.680114
512,408872.648747,240626.000000,125708.988131
1024,169635.359289,85701.000000,17034.388836
2048,336026.723785,170558.000000,32429.052360
4096,572161.997495,268980.000000,180100.498445
8192,366268.177954,102732.000000,98226.848397
16384,809794.791262,270645.000000,485397.532434
32768,563143.045931,116631.000000,225153.048141
65536,1321562.103099,236120.000000,1292589.140986
