frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,359856.736957,228450.000000,80.888813
4,160139.962324,120898.000000,57.175169
8,323250.337222,208234.000000,37.576588
16,432165.762138,419637.000000,25.573424
32,279574.566626,216736.000000,71.154761
64,176811.405842,159427.000000,1121.666171
128,140351.289495,130409.000000,1062.303158
256,109271.848749,80119.000000,448.458471
512,123125.249437,74006.000000,21360.885515
1024,169571.790337,107389.000000,13085.528992
2048,99832.833031,60471.000000,5164.425912
4096,312038.098563,175099.000000,13053.025128
8192,173013.278340,116903.000000,101220.728643
16384,362914.101257,143798.000000,305737.039349
32768,478778.851456,231184.000000,192810.062284
65536,55047.174287,25017.000000,46291.274599
