frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
4096,89743.731776,89743.731776,89743.731776,89743.731776,89743.731776,89743.731776
32,100360.716523,100360.716523,100360.716523,100360.716523,100360.716523,100360.716523
8192,103712.165781,103712.165781,103712.165781,103712.165781,103712.165781,103712.165781
32768,189597.987052,189597.987052,189597.987052,189597.987052,189597.987052,189597.987052
1024,204751.351229,204751.351229,204751.351229,204751.351229,204751.351229,204751.351229
256,184656.367515,184656.367515,184656.367515,184656.367515,184656.367515,184656.367515
512,176038.752836,176038.752836,176038.752836,176038.752836,176038.752836,176038.752836
8,333549.665949,333549.665949,333549.665949,333549.665949,333549.665949,333549.665949
2,390563.743969,390563.743969,390563.743969,390563.743969,390563.743969,390563.743969
128,301410.791520,301410.791520,301410.791520,301410.791520,301410.791520,301410.791520
4,458965.516881,458965.516881,458965.516881,458965.516881,458965.516881,458965.516881
2048,405471.066184,216525.879553,216525.879553,216525.879553,400727.105614,216525.879553
16,280589.039930,280589.039930,280589.039930,280589.039930,280589.039930,280589.039930
65536,391663.424690,391663.424690,391663.424690,391663.424690,391663.424690,391663.424690
64,1652864.006101,360400.377698,360400.377698,360400.377698,360400.377698,360400.377698
16384,574323.041282,574323.041282,574323.041282,574323.041282,574323.041282,574323.041282
