frequency,Dynamic_BAL_njobs200_mode0_L2_norm_flow_time,Dynamic_BAL_njobs200_mode0_maximum_flow_time,Dynamic_BAL_njobs200_mode1_L2_norm_flow_time,Dynamic_BAL_njobs200_mode1_maximum_flow_time,Dynamic_BAL_njobs200_mode2_L2_norm_flow_time,Dynamic_BAL_njobs200_mode2_maximum_flow_time,Dynamic_BAL_njobs200_mode4_L2_norm_flow_time,Dynamic_BAL_njobs200_mode4_maximum_flow_time,Dynamic_BAL_njobs200_mode8_L2_norm_flow_time,Dynamic_BAL_njobs200_mode8_maximum_flow_time,Dynamic_BAL_njobs200_mode16_L2_norm_flow_time,Dynamic_BAL_njobs200_mode16_maximum_flow_time
4,170117.214667,65352.000000,170117.214667,65352.000000,170117.214667,65352.000000,170117.214667,65352.000000,170117.214667,65352.000000,170117.214667,65352.000000
4096,248453.748313,77244.000000,248453.748313,77244.000000,248453.748313,77244.000000,248453.748313,77244.000000,248453.748313,77244.000000,248453.748313,77244.000000
16384,372877.854333,129291.000000,372877.854333,129291.000000,372877.854333,129291.000000,372877.854333,129291.000000,372877.854333,129291.000000,372877.854333,129291.000000
16,304810.717713,217767.000000,304810.717713,217767.000000,304810.717713,217767.000000,304810.717713,217767.000000,304810.717713,217767.000000,304810.717713,217767.000000
256,276659.247026,100350.000000,276659.247026,100350.000000,274561.556785,100350.000000,276659.247026,100350.000000,276659.247026,100350.000000,276659.247026,100350.000000
8,294871.999518,181837.000000,294871.999518,181837.000000,294871.999518,181837.000000,294871.999518,181837.000000,294871.999518,181837.000000,294871.999518,181837.000000
8192,433450.395994,245047.000000,433292.376633,223427.000000,433450.395994,245047.000000,433450.395994,245047.000000,433450.395994,245047.000000,433450.395994,245047.000000
64,495075.528289,246977.000000,495075.528289,246977.000000,495075.528289,246977.000000,495075.528289,246977.000000,495075.528289,246977.000000,495075.528289,246977.000000
2,515516.922681,265589.000000,515516.922681,265589.000000,515516.922681,265589.000000,515516.922681,265589.000000,515516.922681,265589.000000,515516.922681,265589.000000
1024,431789.352560,260139.000000,431789.352560,260139.000000,431789.352560,260139.000000,431789.352560,260139.000000,431789.352560,260139.000000,431789.352560,260139.000000
512,305548.041373,177895.000000,305548.041373,177895.000000,305548.041373,177895.000000,305548.041373,177895.000000,305548.041373,177895.000000,305548.041373,177895.000000
32,469058.677270,259729.000000,469058.677270,259729.000000,469058.677270,259729.000000,469058.677270,259729.000000,469058.677270,259729.000000,469058.677270,259729.000000
2048,485261.643445,227895.000000,485261.643445,227895.000000,485261.643445,227895.000000,485261.643445,227895.000000,485261.643445,227895.000000,485261.643445,227895.000000
128,590440.790482,284195.000000,590440.790482,284195.000000,590440.790482,284195.000000,590440.790482,284195.000000,590440.790482,284195.000000,590440.790482,284195.000000
65536,1164908.172085,221450.000000,1164908.172085,221450.000000,1164908.172085,221450.000000,1164908.172085,221450.000000,1164908.172085,221450.000000,1164908.172085,221450.000000
32768,1354388.701579,192648.000000,1354388.701579,192648.000000,1354388.701579,192648.000000,1354388.701579,192648.000000,1354388.701579,192648.000000,1354388.701579,192648.000000
