frequency,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
2,215419.737840,148538.000000,215419.737840,148538.000000,215419.737840,148538.000000,215419.737840,148538.000000,215419.737840,148538.000000,215419.737840,148538.000000
256,242783.513312,106016.000000,242783.513312,106016.000000,242783.513312,106016.000000,242783.513312,106016.000000,242783.513312,106016.000000,242783.513312,106016.000000
32,205576.276019,103637.000000,205576.276019,103637.000000,205576.276019,103637.000000,205576.276019,103637.000000,205576.276019,103637.000000,205576.276019,103637.000000
64,190286.037796,95561.000000,190286.037796,95561.000000,190286.037796,95561.000000,190286.037796,95561.000000,190286.037796,95561.000000,190286.037796,95561.000000
16,369783.517910,231359.000000,369783.517910,231359.000000,369783.517910,231359.000000,369783.517910,231359.000000,369783.517910,231359.000000,369783.517910,231359.000000
16384,481448.983758,141017.000000,481448.983758,141017.000000,481448.983758,141017.000000,481448.983758,141017.000000,481448.983758,141017.000000,481448.983758,141017.000000
4,166369.551800,102568.000000,166369.551800,102568.000000,166369.551800,102568.000000,166369.551800,102568.000000,166369.551800,102568.000000,166369.551800,102568.000000
8,405879.331696,191574.000000,405879.331696,191574.000000,405879.331696,191574.000000,405879.331696,191574.000000,405879.331696,191574.000000,405879.331696,191574.000000
128,461165.029008,277826.000000,461165.029008,277826.000000,461165.029008,277826.000000,461165.029008,277826.000000,461165.029008,277826.000000,461165.029008,277826.000000
1024,657146.863322,242998.000000,657146.863322,242998.000000,657146.863322,242998.000000,657146.863322,242998.000000,657146.863322,242998.000000,657146.863322,242998.000000
4096,654249.776345,228462.000000,654249.776345,228462.000000,654249.776345,228462.000000,654249.776345,228462.000000,654249.776345,228462.000000,654249.776345,228462.000000
8192,283862.345072,138544.000000,283862.345072,138544.000000,283862.345072,138544.000000,283862.345072,138544.000000,283862.345072,138544.000000,283862.345072,138544.000000
2048,581964.529949,253010.000000,581964.529949,253010.000000,581964.529949,253010.000000,581964.529949,253010.000000,581964.529949,253010.000000,581964.529949,253010.000000
512,823374.700613,300495.000000,823374.700613,300495.000000,823374.700613,300495.000000,823374.700613,300495.000000,823374.700613,300495.000000,823374.700613,300495.000000
65536,1233522.284207,265088.000000,1233522.284207,265088.000000,1233522.284207,265088.000000,1233522.284207,265088.000000,1233522.284207,265088.000000,1233522.284207,265088.000000
32768,1938390.403625,230189.000000,1938390.403625,230189.000000,1938390.403625,230189.000000,1938390.403625,230189.000000,1938390.403625,230189.000000,1938390.403625,230189.000000
