frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
65536,92234.935946,92234.935946,92234.935946,92234.935946,92234.935946,92234.935946
16384,120816.642819,120752.780353,120752.780353,120752.780353,120752.780353,120752.780353
64,116861.191103,116861.191103,116861.191103,116861.191103,116861.191103,116861.191103
32768,110536.348972,110536.348972,110536.348972,110536.348972,110536.348972,110536.348972
4096,108532.466133,108532.466133,108532.466133,108532.466133,108532.466133,108532.466133
1024,170438.773139,170437.097828,170437.097828,170437.097828,170437.097828,170437.097828
16,115096.606327,115096.606327,115096.606327,115096.606327,115096.606327,115096.606327
2,151461.813851,151461.813851,151461.813851,151461.813851,151461.813851,151461.813851
2048,124567.305394,124567.305394,124567.305394,124567.305394,124567.305394,124567.305394
4,174007.336610,146803.952406,146803.952406,146803.952406,146803.952406,146803.952406
256,206412.907164,206412.907164,206412.907164,206412.907164,206412.907164,206412.907164
128,254340.975900,254340.975900,254340.975900,254340.975900,254340.975900,254340.975900
8192,448585.873731,448585.873731,448585.873731,448585.873731,448585.873731,448585.873731
8,457104.248505,372276.838511,372276.838511,372276.838511,372276.838511,372276.838511
512,469275.630520,347141.658841,347141.658841,347141.658841,347141.658841,347141.658841
32,499205.759836,499205.759836,499205.759836,499205.759836,499205.759836,499205.759836
