arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
36.00,90.00,27,100.00,0.00,99
24.00,90.00,36,100.00,0.00,97
38.00,90.00,36,100.00,0.00,99
36.00,90.00,36,100.00,0.00,99
28.00,32.30,512,93.88,6.12,98
38.00,90.00,18,100.00,0.00,99
34.00,90.00,18,100.00,0.00,99
40.00,90.00,36,100.00,0.00,99
20.00,19.70,4096,2.06,97.94,97
24.00,32.30,512,96.94,3.06,98
40.00,15.30,32768,2.00,98.00,100
26.00,90.00,18,100.00,0.00,98
26.00,90.00,27,100.00,0.00,98
22.00,90.00,36,100.00,0.00,97
22.00,90.00,18,100.00,0.00,98
32.00,32.30,512,93.94,6.06,99
40.00,90.00,18,100.00,0.00,99
40.00,13.00,262144,3.00,97.00,100
34.00,15.30,32768,2.00,98.00,100
20.00,90.00,36,100.00,0.00,97
40.00,32.30,512,100.00,0.00,99
26.00,90.00,36,100.00,0.00,98
32.00,90.00,27,100.00,0.00,98
28.00,90.00,36,100.00,0.00,98
36.00,32.30,512,96.97,3.03,99
30.00,90.00,18,100.00,0.00,98
24.00,90.00,27,100.00,0.00,98
22.00,90.00,27,100.00,0.00,97
36.00,15.30,32768,1.00,99.00,100
28.00,13.00,262144,3.00,97.00,100
32.00,90.00,36,100.00,0.00,98
32.00,90.00,18,100.00,0.00,99
38.00,90.00,27,100.00,0.00,99
30.00,32.30,512,96.94,3.06,98
30.00,90.00,36,100.00,0.00,99
26.00,15.30,32768,2.04,97.96,98
40.00,90.00,27,100.00,0.00,99
22.00,32.30,512,95.92,4.08,98
34.00,32.30,512,94.95,5.05,99
30.00,90.00,27,100.00,0.00,99
24.00,19.70,4096,4.12,95.88,97
34.00,19.70,4096,1.02,98.98,98
32.00,15.30,32768,2.02,97.98,99
28.00,15.30,32768,2.08,97.92,96
28.00,90.00,18,100.00,0.00,98
36.00,90.00,18,100.00,0.00,99
30.00,19.70,4096,4.08,95.92,98
38.00,19.70,4096,1.02,98.98,98
24.00,13.00,262144,3.00,97.00,100
20.00,90.00,27,100.00,0.00,97
20.00,90.00,18,100.00,0.00,97
22.00,13.00,262144,2.02,97.98,99
38.00,32.30,512,97.98,2.02,99
38.00,13.00,262144,4.00,96.00,100
34.00,90.00,36,100.00,0.00,99
26.00,13.00,262144,2.02,97.98,99
34.00,90.00,27,100.00,0.00,99
30.00,13.00,262144,3.12,96.88,96
20.00,15.30,32768,2.02,97.98,99
30.00,15.30,32768,4.00,96.00,100
32.00,19.70,4096,3.03,96.97,99
28.00,19.70,4096,1.01,98.99,99
22.00,15.30,32768,2.00,98.00,100
32.00,13.00,262144,2.00,98.00,100
38.00,15.30,32768,2.00,98.00,100
24.00,15.30,32768,1.02,98.98,98
26.00,32.30,512,95.92,4.08,98
22.00,19.70,4096,1.05,98.95,95
24.00,90.00,18,100.00,0.00,98
34.00,13.00,262144,3.06,96.94,98
36.00,19.70,4096,5.05,94.95,99
28.00,90.00,27,100.00,0.00,98
20.00,32.30,512,96.91,3.09,97
36.00,13.00,262144,1.00,99.00,100
26.00,19.70,4096,2.04,97.96,98
20.00,13.00,262144,3.03,96.97,99
40.00,19.70,4096,2.00,98.00,100
