arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
26,13.000000,262144,112551848.180614
26,15.300000,32768,149919233.825675
26,19.700000,4096,213920289.056341
26,32.300000,512,353848090.751117
26,90.000000,18,495250283.513753
26,90.000000,27,477388736.013520
26,90.000000,36,458791321.176442
