arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
30,13.000000,262144,99792715.249491
30,15.300000,32768,132952030.637814
30,19.700000,4096,196204921.304690
30,32.300000,512,338352445.087263
30,90.000000,18,479803443.207137
30,90.000000,27,464246587.980742
30,90.000000,36,444128617.407044
