arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
28,13.000000,262144,106918793.097829
28,15.300000,32768,143409093.931025
28,19.700000,4096,211681840.001009
28,32.300000,512,346812724.652036
28,90.000000,18,488720774.636185
28,90.000000,27,470664396.457875
28,90.000000,36,452185666.623821
