arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
22,13.000000,262144,126105718.060680
22,15.300000,32768,164594956.563564
22,19.700000,4096,224449743.966403
22,32.300000,512,366632684.166543
22,90.000000,18,511982617.775612
22,90.000000,27,493856269.654712
22,90.000000,36,475107542.113871
