arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
28,13.000000,262144,106128289.252823
28,15.300000,32768,142769370.961284
28,19.700000,4096,213092872.495868
28,32.300000,512,350330489.916718
28,90.000000,18,486045624.464074
28,90.000000,27,471439278.918912
28,90.000000,36,450857893.041451
