arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
32,13.000000,262144,93054314.031659
32,15.300000,32768,124635434.038019
32,19.700000,4096,188383330.079976
32,32.300000,512,326365425.256593
32,90.000000,18,472420554.918227
32,90.000000,27,456927928.969734
32,90.000000,36,436612358.712566
