arrival_rate,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time
36,13.000000,262144,78638990.101563
36,15.300000,32768,117587897.349329
36,19.700000,4096,173793100.829070
36,32.300000,512,310233920.902148
36,90.000000,18,455908303.507095
36,90.000000,27,436583125.661843
36,90.000000,36,419588271.327498
