mean_inter_arrival_time,L2_norm_flow_time
20.0,215478344.11615115
22.0,207899863.33765078
24.0,201066418.2879899
26.0,193776998.5111851
28.0,186939299.4612561
30.0,179700392.76261935
32.0,171655132.27593452
34.0,163483373.5302805
36.0,155566060.27876753
38.0,148597837.0804252
40.0,140813231.38831398
