coherence_time,L2_norm_flow_time
2,135582951.7321903
4,135693653.8692511
8,137209449.492818
16,137447263.5194216
32,138532882.6725281
64,139428403.419884
128,139441400.2247189
256,139811770.2963199
512,139466289.4384836
1024,139017746.90707558
2048,139646111.54424748
4096,136375862.7869189
8192,135317911.6336705
16384,141398797.7810226
32768,145885015.6556059
65536,157192752.3453305
