frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,209394.508483,48717.000000
128,190555.966608,43984.000000
16,197441.166108,55562.000000
16384,16327.405673,14808.000000
2,198038.735812,36565.000000
2048,249776.595331,42779.000000
32768,10720.036241,3833.000000
32,193844.579808,42471.000000
4,182793.856855,44917.000000
8,151183.707297,46433.000000
65536,12837.904073,10948.000000
256,229051.212531,45526.000000
8192,216885.587101,59980.000000
4096,179598.489083,45491.000000
512,195885.050882,51255.000000
64,176189.920821,42499.000000
