frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,242483.410191,52194.000000
128,268794.849700,48389.000000
16,215100.708167,43427.000000
16384,285630.039761,103992.000000
256,217382.931996,45520.000000
2,193933.815530,50353.000000
2048,173254.578116,41193.000000
32,180773.228873,38867.000000
32768,100037.341013,37711.000000
8,185351.653160,52138.000000
8192,156032.908599,32068.000000
65536,287670.895566,70826.000000
4,197568.582404,43470.000000
4096,202796.850587,165595.000000
512,205093.965328,50239.000000
64,184210.194810,37912.000000
