frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,271772.844795,52921.000000
2,202880.875558,61710.000000
16,200231.908613,46160.000000
16384,352437.994721,80333.000000
128,195781.463305,53525.000000
2048,234709.015587,41419.000000
32768,93878.558191,50384.000000
65536,289850.346859,52820.000000
4,205786.467505,51842.000000
32,195404.073676,45508.000000
256,262928.542606,53007.000000
8,130077.901113,39508.000000
512,167686.129462,44548.000000
4096,404381.673270,75755.000000
64,148467.924708,40939.000000
8192,271064.882886,52842.000000
