frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,291570.931144,60069.000000
128,178743.500780,45508.000000
2,200106.442712,42857.000000
16,185098.304536,50618.000000
16384,94190.652217,25583.000000
32768,168114.227920,59245.000000
2048,145226.593677,35485.000000
32,193221.742288,41417.000000
8192,228490.867297,52555.000000
4096,225573.751325,45133.000000
512,178252.814298,43235.000000
256,188365.541368,45184.000000
4,165617.567196,36913.000000
64,166293.920006,44498.000000
8,215112.589385,80275.000000
65536,147259.576775,45003.000000
