frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,164940.023439,41578.000000
128,250491.711629,50421.000000
32768,164221.309382,66630.000000
2,183910.230895,66125.000000
16,182050.216852,43660.000000
2048,304261.090389,53811.000000
16384,308830.669074,51304.000000
256,199651.017125,46326.000000
32,205857.743634,53161.000000
8,180749.208848,46196.000000
512,158738.356096,50087.000000
65536,34978.558961,19098.000000
8192,359578.692087,33246.000000
4,170731.854216,39276.000000
4096,231126.827508,61742.000000
64,206880.737581,47952.000000
