frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,103603.937020,38627.000000
128,192584.155584,42985.000000
16,187234.264733,45571.000000
2,152882.814829,36719.000000
16384,299306.580479,67948.000000
2048,306869.247144,59412.000000
32,193451.412567,45935.000000
64,178937.402817,44805.000000
256,213701.483797,42749.000000
8,220563.062216,49487.000000
4,153003.642581,36812.000000
65536,4182.722080,1709.000000
32768,129070.288184,52111.000000
8192,124016.412680,26402.000000
512,252749.724320,48973.000000
4096,92200.522097,39931.000000
