frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
2,193948.894129,41477.000000
1024,217490.943480,44575.000000
16384,5112.800505,2901.000000
16,180842.084455,40237.000000
128,226547.957490,51283.000000
256,198339.767624,42441.000000
2048,222915.140545,40331.000000
32,204263.430337,47722.000000
32768,744934.044068,52096.000000
4,185344.637144,53358.000000
64,196408.774796,38576.000000
65536,598407.909776,53561.000000
8192,118615.654313,35344.000000
8,183289.730473,54511.000000
512,149705.642963,36996.000000
4096,222404.298704,40817.000000
