frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
16,187234.264733,187234.264733,187234.264733,187234.264733,187234.264733,187234.264733,187234.264733,45571.000000,45571.000000,45571.000000,45571.000000,45571.000000,45571.000000,45571.000000
128,192584.155584,192584.155584,192584.155584,192584.155584,192584.155584,192584.155584,192584.155584,42985.000000,42985.000000,42985.000000,42985.000000,42985.000000,42985.000000,42985.000000
16384,299306.580479,299306.580479,299306.580479,299306.580479,299306.580479,299306.580479,299306.580479,67948.000000,67948.000000,67948.000000,67948.000000,67948.000000,67948.000000,67948.000000
1024,103603.937020,103603.937020,103603.937020,103603.937020,103603.937020,103603.937020,103603.937020,38627.000000,38627.000000,38627.000000,38627.000000,38627.000000,38627.000000,38627.000000
2048,352572.679722,320959.897130,306869.247144,352572.679722,352572.679722,306869.247144,306869.247144,59412.000000,59412.000000,59412.000000,59412.000000,59412.000000,59412.000000,59412.000000
512,252749.724320,252749.724320,252749.724320,252749.724320,252749.724320,252749.724320,252749.724320,48973.000000,48973.000000,48973.000000,48973.000000,48973.000000,48973.000000,48973.000000
32768,129070.288184,129070.288184,129070.288184,129070.288184,129070.288184,129070.288184,129070.288184,52111.000000,52111.000000,52111.000000,52111.000000,52111.000000,52111.000000,52111.000000
64,178937.402817,178937.402817,178937.402817,178937.402817,178937.402817,178937.402817,178937.402817,44805.000000,44805.000000,44805.000000,44805.000000,44805.000000,44805.000000,44805.000000
4,153003.642581,153003.642581,153003.642581,153003.642581,153003.642581,153003.642581,153003.642581,36812.000000,36812.000000,36812.000000,36812.000000,36812.000000,36812.000000,36812.000000
32,193451.412567,193451.412567,193451.412567,193451.412567,193451.412567,193451.412567,193451.412567,45935.000000,45935.000000,45935.000000,45935.000000,45935.000000,45935.000000,45935.000000
8192,120980.332877,120980.332877,120980.332877,120980.332877,120980.332877,120980.332877,120980.332877,23906.000000,23906.000000,23906.000000,23906.000000,23906.000000,23906.000000,23906.000000
65536,4182.722080,4182.722080,4182.722080,4182.722080,4182.722080,4182.722080,4182.722080,1709.000000,1709.000000,1709.000000,1709.000000,1709.000000,1709.000000,1709.000000
8,220563.062216,220563.062216,220563.062216,220563.062216,220563.062216,220563.062216,220563.062216,49487.000000,49487.000000,49487.000000,49487.000000,49487.000000,49487.000000,49487.000000
256,213701.483797,213701.483797,213701.483797,213701.483797,213701.483797,213701.483797,213701.483797,42749.000000,42749.000000,42749.000000,42749.000000,42749.000000,42749.000000,42749.000000
2,152882.814829,152882.814829,152882.814829,152882.814829,152882.814829,152882.814829,152882.814829,36719.000000,36719.000000,36719.000000,36719.000000,36719.000000,36719.000000,36719.000000
4096,92200.522097,92200.522097,92200.522097,92200.522097,92200.522097,92200.522097,92200.522097,39931.000000,39931.000000,39931.000000,39931.000000,39931.000000,39931.000000,39931.000000
