frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
1024,291570.931144,291570.931144,291570.931144,291570.931144,291570.931144,291570.931144,291570.931144,60069.000000,60069.000000,60069.000000,60069.000000,60069.000000,60069.000000,60069.000000
128,178743.500780,178743.500780,178743.500780,178743.500780,178743.500780,178743.500780,178743.500780,45508.000000,45508.000000,45508.000000,45508.000000,45508.000000,45508.000000,45508.000000
16384,94190.652217,94190.652217,94190.652217,94190.652217,94190.652217,94190.652217,94190.652217,25583.000000,25583.000000,25583.000000,25583.000000,25583.000000,25583.000000,25583.000000
256,188365.541368,188365.541368,188365.541368,188365.541368,188365.541368,188365.541368,188365.541368,45184.000000,45184.000000,45184.000000,45184.000000,45184.000000,45184.000000,45184.000000
2,200106.442712,200106.442712,200106.442712,200106.442712,200106.442712,200106.442712,200106.442712,42857.000000,42857.000000,42857.000000,42857.000000,42857.000000,42857.000000,42857.000000
16,185098.304536,185098.304536,185098.304536,185098.304536,185098.304536,185098.304536,185098.304536,50618.000000,50618.000000,50618.000000,50618.000000,50618.000000,50618.000000,50618.000000
32768,168114.227920,168114.227920,168114.227920,168114.227920,168114.227920,168114.227920,168114.227920,59245.000000,59245.000000,59245.000000,59245.000000,59245.000000,59245.000000,59245.000000
4096,243251.946399,233235.780872,225573.751325,235563.101998,243251.946399,225573.751325,225573.751325,45133.000000,45133.000000,45133.000000,45133.000000,45133.000000,45133.000000,45133.000000
2048,145226.593677,145226.593677,145226.593677,145226.593677,145226.593677,145226.593677,145226.593677,35485.000000,35485.000000,35485.000000,35485.000000,35485.000000,35485.000000,35485.000000
32,193221.742288,193221.742288,193221.742288,193221.742288,193221.742288,193221.742288,193221.742288,41417.000000,41417.000000,41417.000000,41417.000000,41417.000000,41417.000000,41417.000000
65536,147259.576775,147259.576775,147259.576775,147259.576775,147259.576775,147259.576775,147259.576775,45003.000000,45003.000000,45003.000000,45003.000000,45003.000000,45003.000000,45003.000000
64,166293.920006,166293.920006,166293.920006,166293.920006,166293.920006,166293.920006,166293.920006,44498.000000,44498.000000,44498.000000,44498.000000,44498.000000,44498.000000,44498.000000
8192,228490.867297,228490.867297,228490.867297,228490.867297,228490.867297,228490.867297,228490.867297,52555.000000,52555.000000,52555.000000,52555.000000,52555.000000,52555.000000,52555.000000
4,181027.835978,165617.567196,165617.567196,165617.567196,181027.835978,165617.567196,165617.567196,27737.000000,36913.000000,36913.000000,36913.000000,27737.000000,36913.000000,36913.000000
8,215112.589385,215112.589385,215112.589385,215112.589385,215112.589385,215112.589385,215112.589385,80275.000000,80275.000000,80275.000000,80275.000000,80275.000000,80275.000000,80275.000000
512,194526.901322,178252.814298,194526.901322,194526.901322,194526.901322,178252.814298,178252.814298,43235.000000,43235.000000,43235.000000,43235.000000,43235.000000,43235.000000,43235.000000
