frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,192530.302833,47256.000000
128,214454.811804,43524.000000
32768,127719.075924,27304.000000
2048,219970.780789,53797.000000
16,210498.892855,51726.000000
16384,35939.805453,13259.000000
2,177305.551281,33184.000000
256,214911.397122,53385.000000
32,195654.038162,44921.000000
512,181988.586433,35788.000000
8192,70802.796272,28737.000000
8,203082.602076,47185.000000
4,197527.234421,44518.000000
64,194116.392193,49019.000000
65536,354025.933835,53627.000000
4096,256430.484233,147979.000000
