frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,154874.600135,47173.000000
128,181589.684481,54943.000000
16,220148.814691,54372.000000
2,189556.301889,37658.000000
16384,9329.076482,7245.000000
2048,229672.991414,53670.000000
256,126461.818977,40041.000000
32768,419401.466734,114439.000000
32,193752.657837,57252.000000
512,172547.499072,65058.000000
8,201132.347336,56091.000000
65536,240374.705683,29575.000000
64,213233.350422,48709.000000
4096,114162.889706,21638.000000
8192,113408.654895,38053.000000
4,161021.047016,40437.000000
