frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
2,363394.518200,363394.518200,363394.518200,363394.518200,363394.518200,363394.518200
4,397559.007772,397559.007772,397559.007772,397559.007772,397559.007772,397559.007772
8,168938.024675,168938.024675,168938.024675,168938.024675,168938.024675,168938.024675
32,588215.207682,588215.207682,588215.207682,588215.207682,588215.207682,588215.207682
64,857446.810794,857446.810794,857446.810794,857446.810794,857446.810794,857446.810794
65536,1543167.687172,1543167.687172,1543167.687172,1543167.687172,1543167.687172,1543167.687172
256,988320.502030,988320.502030,988320.502030,988320.502030,988320.502030,988320.502030
16,738296.528882,738296.528882,738296.528882,738296.528882,738296.528882,738296.528882
512,837557.917953,837557.917953,837557.917953,837557.917953,837557.917953,837557.917953
2048,1157310.600306,1157310.600306,1157310.600306,1157310.600306,1157310.600306,1157310.600306
8192,1603053.285825,1603053.285825,1603053.285825,1603053.285825,1603053.285825,1603053.285825
4096,1486765.645529,1486765.645529,1486765.645529,1486765.645529,1486765.645529,1486765.645529
1024,1058066.804405,1058066.804405,1058066.804405,1058066.804405,1058066.804405,1058066.804405
16384,1016797.397672,1016797.397672,1016797.397672,1016797.397672,1016797.397672,1016797.397672
128,847771.526163,847771.526163,847771.526163,847771.526163,847771.526163,847771.526163
32768,1656860.208849,1656860.208849,1656860.208849,1656860.208849,1656860.208849,1656860.208849
