frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
65536,481651.666865,481651.666865,481651.666865,481651.666865,481651.666865,481651.666865
4,439262.285270,439262.285270,439262.285270,439262.285270,439262.285270,439262.285270
16,374989.614820,374989.614820,374989.614820,374989.614820,374989.614820,374989.614820
32768,1481990.611297,1481990.611297,1481990.611297,1481990.611297,1481990.611297,1481990.611297
256,772501.763571,772501.763571,772501.763571,772501.763571,772501.763571,772501.763571
32,594153.200741,594153.200741,594153.200741,594153.200741,594153.200741,594153.200741
8,558678.637457,558678.637457,558678.637457,558678.637457,558678.637457,558678.637457
128,998518.810942,998518.810942,998518.810942,998518.810942,998518.810942,998518.810942
2,719184.030672,719184.030672,719184.030672,719184.030672,719184.030672,719184.030672
4096,1103678.854866,1103678.854866,1103678.854866,1103678.854866,1103678.854866,1103678.854866
1024,1113361.380293,1113361.380293,1113361.380293,1113361.380293,1113361.380293,1113361.380293
64,1224371.335649,1224371.335649,1224371.335649,1224371.335649,1224371.335649,1224371.335649
16384,1130402.101542,1130402.101542,1130402.101542,1130402.101542,1130402.101542,1130402.101542
2048,881486.546875,881486.546875,881486.546875,881486.546875,881486.546875,881486.546875
512,1291019.552464,1291019.552464,1291019.552464,1291019.552464,1291019.552464,1291019.552464
8192,2047115.946462,2047115.946462,2047115.946462,2047115.946462,2047115.946462,2047115.946462
