frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
2,281108.385789,281108.385789,281108.385789,281108.385789,281108.385789,281108.385789
32768,1076942.596239,1076942.596239,1076942.596239,1076942.596239,1076942.596239,1076942.596239
8192,722926.628040,722926.628040,722926.628040,722926.628040,722926.628040,722926.628040
4,590581.338664,590581.338664,590581.338664,590581.338664,590581.338664,590581.338664
512,1065077.809411,1065077.809411,1065077.809411,1065077.809411,1065077.809411,1065077.809411
8,513712.220687,513712.220687,513712.220687,513712.220687,513712.220687,513712.220687
16,910913.926502,910913.926502,910913.926502,910913.926502,910913.926502,910913.926502
64,888113.233044,888113.233044,888113.233044,888113.233044,888113.233044,888113.233044
2048,1305518.035938,1305518.035938,1305518.035938,1305518.035938,1305518.035938,1305518.035938
16384,1016612.225191,1016612.225191,1016612.225191,1016612.225191,1016612.225191,1016612.225191
128,916235.295954,916235.295954,916235.295954,916235.295954,916235.295954,916235.295954
1024,1163184.212138,1163184.212138,1163184.212138,1163184.212138,1163184.212138,1163184.212138
4096,1045257.005423,1045257.005423,1045257.005423,1045257.005423,1045257.005423,1045257.005423
256,1097933.341922,1097933.341922,1097933.341922,1097933.341922,1097933.341922,1097933.341922
32,1383115.587721,1383115.587721,1383115.587721,1383115.587721,1383115.587721,1383115.587721
65536,3557875.879172,3557875.879172,3557875.879172,3557875.879172,3557875.879172,3557875.879172
