frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,182112621.387778,2299659.000000
4,319803335.441614,3419040.000000
8,2210214.224405,1184596.000000
16,197095077.183361,2468841.000000
32,204282182.410154,2502012.000000
64,3819414.815213,1219486.000000
128,2764890.089568,1082572.000000
256,197593160.868049,2373489.000000
512,2536452.427088,1118899.000000
1024,191925746.318582,2484179.000000
2048,202265178.838180,2408172.000000
4096,204571522.137557,2358461.000000
8192,157028695.370256,2292507.000000
16384,379236620.698492,3827561.000000
32768,28318425.623823,779513.000000
65536,388141085.646271,3719704.000000
