frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,182175424.547654,2362215.000000
4,1764926.797715,1123458.000000
8,325340312.972827,3470950.000000
16,328803490.843459,3510777.000000
32,1538828.277631,1013669.000000
64,3560272.211094,1241967.000000
128,3940878.595910,997404.000000
256,1887809.047769,578708.000000
512,320595059.223406,3499787.000000
1024,214800880.766776,2442914.000000
2048,4825130.961639,1014213.000000
4096,178818276.292930,2337745.000000
8192,298497820.818242,3612046.000000
16384,308482284.271369,3770857.000000
32768,11317191.052568,808840.000000
65536,174889151.639636,2360331.000000
