frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,2979328.251739,1214234.000000
4,193116342.269762,2459655.000000
8,380171418.559492,3989738.000000
16,353137401.154500,3788936.000000
32,325589184.603717,3438888.000000
64,188781594.834271,2405877.000000
128,328877628.864594,3509679.000000
256,189318858.211422,2402320.000000
512,3262709.386846,1003647.000000
1024,195011449.458096,2446369.000000
2048,318613607.283780,3619361.000000
4096,5309166.784164,1127687.000000
8192,370840557.289912,3546534.000000
16384,180269859.902155,2497066.000000
32768,207249789.546347,2320442.000000
65536,326369950.693321,3672872.000000
