frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,1900956.041585,1078799.000000
4,338495359.619391,3664656.000000
8,183485299.586352,2338092.000000
16,331199705.742471,3625959.000000
32,1394064.942298,979182.000000
64,195095003.082749,2435392.000000
128,345154478.132734,3697162.000000
256,1715238.852331,476874.000000
512,4022705.833379,1067755.000000
1024,2286585.007559,580382.000000
2048,180883354.210462,2463465.000000
4096,194141659.458595,2321644.000000
8192,374283480.602981,3534751.000000
16384,24266456.666290,775403.000000
32768,7076393.724247,1139917.000000
65536,354336775.050801,3609895.000000
