frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,185948868.322942,2411075.000000
4,2361513.270570,905796.000000
8,186891738.156385,2465393.000000
16,2820855.566700,1125750.000000
32,1707711.785896,505617.000000
64,322988884.891814,3481272.000000
128,199348267.814046,2423248.000000
256,185667034.225106,2300739.000000
512,194427744.412537,2367619.000000
1024,188442741.254577,2417094.000000
2048,2539116.273116,567324.000000
4096,9035770.384537,1039399.000000
8192,320326180.078391,3576768.000000
16384,187844760.133463,2375163.000000
32768,14605541.560770,1191918.000000
65536,11781321.002704,1056582.000000
