frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,188545786.339669,2387324.000000
4,197290201.453502,2461258.000000
8,186857982.172702,2459453.000000
16,1625171.893391,823129.000000
32,328354589.676839,3544659.000000
64,331627472.063234,3519277.000000
128,190632700.353330,2365427.000000
256,340540911.286591,3611471.000000
512,3864916.592625,1283467.000000
1024,186894659.101725,2383292.000000
2048,6659842.147298,1228471.000000
4096,8813111.324939,1019378.000000
8192,344335805.652918,3559186.000000
16384,170830087.657863,2345826.000000
32768,334487653.353409,3478686.000000
65536,308037752.012651,3608190.000000
