frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,328716938.602561,3561481.000000
4,334577512.193043,3623918.000000
8,184758952.161048,2409628.000000
16,194446734.528930,2471845.000000
32,336381189.611557,3521218.000000
64,3379855.493744,1223647.000000
128,346173920.914361,3677853.000000
256,187385725.825959,2286273.000000
512,332778912.192743,3595327.000000
1024,3314122.627841,951983.000000
2048,314877875.898360,3506691.000000
4096,3889191.126345,675350.000000
8192,318249499.978973,3620561.000000
16384,286655379.049380,3596425.000000
32768,270908863.311491,3598432.000000
65536,261333081.657012,2420665.000000
