frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,331371877.415284,3664384.000000
4,2298945.348820,1198984.000000
8,183372107.182209,2336518.000000
16,323258435.793391,3505469.000000
32,331616208.413514,3552339.000000
64,194616012.643692,2378697.000000
128,2550662.091642,1061944.000000
256,3185338.004602,806024.000000
512,183701168.906996,2376184.000000
1024,2668736.522483,972593.000000
2048,348143190.077802,3621149.000000
4096,4407912.042787,670622.000000
8192,337280261.819138,3527553.000000
16384,21885992.726124,1241756.000000
32768,123259337.133756,2324709.000000
65536,7634655.312377,1183830.000000
