frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,1698270.467847,1039726.000000
4,1024703.853859,845105.000000
8,318587494.426171,3472537.000000
16,343644585.707153,3642976.000000
32,186292245.633075,2553157.000000
64,184070213.451200,2376601.000000
128,187456355.772249,2306882.000000
256,4782823.606535,1168271.000000
512,312493471.821136,3448368.000000
1024,192041637.936345,2339145.000000
2048,183707769.805401,2385787.000000
4096,7444420.558139,1175112.000000
8192,174030140.472155,2391686.000000
16384,246706782.374112,2396024.000000
32768,268598662.293184,3566761.000000
65536,217717538.937117,2423999.000000
