frequency,Dynamic_BAL_njobs200_mode0_L2_norm_flow_time,Dynamic_BAL_njobs200_mode0_maximum_flow_time,Dynamic_BAL_njobs200_mode1_L2_norm_flow_time,Dynamic_BAL_njobs200_mode1_maximum_flow_time,Dynamic_BAL_njobs200_mode2_L2_norm_flow_time,Dynamic_BAL_njobs200_mode2_maximum_flow_time,Dynamic_BAL_njobs200_mode4_L2_norm_flow_time,Dynamic_BAL_njobs200_mode4_maximum_flow_time,Dynamic_BAL_njobs200_mode8_L2_norm_flow_time,Dynamic_BAL_njobs200_mode8_maximum_flow_time,Dynamic_BAL_njobs200_mode16_L2_norm_flow_time,Dynamic_BAL_njobs200_mode16_maximum_flow_time
2048,293623.544545,7489.000000,293623.544545,7489.000000,293623.544545,7489.000000,293623.544545,7489.000000,293623.544545,7489.000000,293623.544545,7489.000000
32,722894.760719,12712.000000,722894.760719,12712.000000,722894.760719,12712.000000,722894.760719,12712.000000,722894.760719,12712.000000,722894.760719,12712.000000
16,107406.099007,2664.000000,107406.099007,2664.000000,107406.099007,2664.000000,107406.099007,2664.000000,107406.099007,2664.000000,107406.099007,2664.000000
4,354118.743867,10872.000000,354118.743867,10872.000000,354118.743867,10872.000000,354118.743867,10872.000000,354118.743867,10872.000000,354118.743867,10872.000000
2,406183.294027,7716.000000,406183.294027,7716.000000,406183.294027,7716.000000,406183.294027,7716.000000,406183.294027,7716.000000,406183.294027,7716.000000
8192,565719.906569,10901.000000,565719.906569,10901.000000,565719.906569,10901.000000,565719.906569,10901.000000,565719.906569,10901.000000,565719.906569,10901.000000
64,631923.097076,12320.000000,631923.097076,12320.000000,631923.097076,12320.000000,631923.097076,12320.000000,631923.097076,12320.000000,631923.097076,12320.000000
8,574504.600146,9843.000000,574504.600146,9843.000000,574504.600146,9843.000000,574504.600146,9843.000000,574504.600146,9843.000000,574504.600146,9843.000000
16384,692428.557475,11494.000000,692428.557475,11494.000000,692428.557475,11494.000000,692428.557475,11494.000000,692428.557475,11494.000000,692428.557475,11494.000000
256,1101623.556796,19464.000000,1101623.556796,19464.000000,1101623.556796,19464.000000,1101623.556796,19464.000000,1101623.556796,19464.000000,1101623.556796,19464.000000
128,1166643.789823,20581.000000,1166643.789823,20581.000000,1166643.789823,20581.000000,1166643.789823,20581.000000,1166643.789823,20581.000000,1166643.789823,20581.000000
512,1146361.052340,22249.000000,1146361.052340,22249.000000,1146361.052340,22249.000000,1146361.052340,22249.000000,1146361.052340,22249.000000,1146361.052340,22249.000000
4096,1054473.136691,18339.000000,1054473.136691,18339.000000,1054473.136691,18339.000000,1054473.136691,18339.000000,1054473.136691,18339.000000,1054473.136691,18339.000000
1024,1537724.867683,25750.000000,1537724.867683,25750.000000,1537724.867683,25750.000000,1537724.867683,25750.000000,1537724.867683,25750.000000,1537724.867683,25750.000000
32768,1919104.127749,84163.000000,1961161.134599,31334.000000,1961161.134599,31334.000000,1961161.134599,31334.000000,1961161.134599,31334.000000,1940790.348992,60212.000000
65536,1345231.825358,23995.000000,1345231.825358,23995.000000,1345231.825358,23995.000000,1345231.825358,23995.000000,1345231.825358,23995.000000,1345231.825358,23995.000000
