frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
8,375392.700686,375148.503504,375148.503504,375148.503504,375392.700686,375148.503504
4096,581021.837764,581021.837764,581021.837764,581021.837764,581021.837764,581021.837764
4,497300.250964,497300.250964,497300.250964,497300.250964,497300.250964,497300.250964
8192,951378.865138,951378.865138,951378.865138,951378.865138,951378.865138,951378.865138
32,751907.719723,751907.719723,751907.719723,751907.719723,751907.719723,751907.719723
2,589177.523471,589177.523471,589177.523471,589177.523471,589177.523471,589177.523471
16,783394.316184,783394.316184,783394.316184,783394.316184,783394.316184,783394.316184
1024,1097883.928700,1097883.928700,1097883.928700,1097883.928700,1097883.928700,1097883.928700
2048,1444963.965070,1444963.965070,1444963.965070,1444963.965070,1444963.965070,1444963.965070
256,1070716.051245,1070716.051245,1070716.051245,1070716.051245,1070716.051245,1070716.051245
64,1092694.191136,1092694.191136,1092694.191136,1092694.191136,1092694.191136,1092694.191136
512,1220257.311598,1220257.311598,1220257.311598,1220257.311598,1220257.311598,1220257.311598
128,994100.030360,994100.030360,994100.030360,994100.030360,994100.030360,994100.030360
16384,1710083.465767,1710083.465767,1710083.465767,1710083.465767,1710083.465767,1710083.465767
32768,2718873.811644,2718873.811644,2718873.811644,2718873.811644,2718873.811644,2718873.811644
65536,3739540.400435,3739540.400435,3739540.400435,3739540.400435,3739540.400435,3739540.400435
