frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,462569.696874,237413.000000,0.000000
4,619915.990623,298197.000000,0.000000
8,145954.913833,62886.000000,0.000000
16,629756.365534,353819.000000,0.000000
32,139392.829062,42522.000000,0.000000
64,232475.301277,120200.000000,0.000000
128,78080.201921,28707.000000,0.000000
256,343653.737134,164854.000000,0.000000
512,228348.529352,79036.000000,0.000000
1024,303348.468895,103094.000000,0.000000
2048,492559.043251,195258.000000,0.000000
4096,786076.399398,205817.000000,0.000000
8192,478698.358695,106509.000000,0.000000
16384,1376403.568955,340042.000000,0.000000
32768,145014.358175,67695.000000,0.000000
65536,971767.567896,226241.000000,0.000000
