frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,703163.887735,310164.000000,0.000000
4,558784.854728,267303.000000,0.000000
8,129500.291382,56373.000000,0.000000
16,146515.604445,84149.000000,0.000000
32,546048.145180,283413.000000,0.000000
64,181735.628166,91544.000000,0.000000
128,516237.107854,301054.000000,0.000000
256,654540.747367,320288.000000,0.000000
512,482052.327368,283664.000000,0.000000
1024,567666.360925,197172.000000,0.000000
2048,287096.285157,97170.000000,0.000000
4096,589647.202208,289932.000000,0.000000
8192,313678.574480,146794.000000,0.000000
16384,223223.668174,65584.000000,0.000000
32768,497984.767323,188131.000000,0.000000
65536,913351.156578,77344.000000,0.000000
